07.09 23.09
## Dasar Linux
| Item | Tingkat | Kegunaan singkat |
|---|---|---|
| git | Mudah | Version control |
| curl | Mudah | Ambil data dari URL |
| wget | Mudah | Unduh file |
| openssl | Sedang | Kriptografi dasar |
| nano | Mudah | Editor teks |
| vim | Sedang | Editor teks lanjutan |
| tmux | Sedang | Multiplexer terminal |
| htop | Mudah | Monitor proses |
| screen | Sedang | Session manager |
| tar | Mudah | Arsip file |
| zip | Mudah | Kompresi |
| unzip | Mudah | Ekstraksi arsip |
| grep | Mudah | Pencarian teks |
| sed | Sedang | Transformasi teks |
| awk | Sedang | Pemrosesan teks |
| findutils | Mudah | Pencarian file |
| coreutils | Mudah | Utilitas inti |
| util-linux | Mudah | Utilitas sistem |
| bash | Mudah | Shell utama |
| zsh | Sedang | Shell alternatif |
| fish | Sedang | Shell modern |
| python | Mudah | Bahasa skrip |
| python-pip | Mudah | Manajer paket Python |
| ruby | Sedang | Bahasa skrip |
| perl | Sedang | Bahasa skrip |
| php | Sedang | Bahasa skrip |
| nodejs | Sedang | Runtime JavaScript |
| clang | Sulit | Compiler C/C++ |
| make | Sedang | Otomasi build |
| cmake | Sulit | Sistem build |
| pkg-config | Sedang | Konfigurasi build |
| pkg | Mudah | Manajer paket Termux |
| rsync | Sedang | Sinkronisasi file |
| proot | Sedang | Emulasi environment |
| termux-api | Mudah | Akses fitur Android |
| termux-tools | Mudah | Alat bantu Termux |
| termux-services | Sedang | Layanan background |
| ncurses-utils | Mudah | UI terminal |
| lsof | Sedang | Lihat file terbuka |
| strace | Sedang | Trace sistem call |
| gdb | Sulit | Debugging tingkat lanjut |
## Jaringan
| Item | Tingkat | Kegunaan singkat |
|---|---|---|
| net-tools | Mudah | Utilitas jaringan klasik |
| iproute2 | Sedang | Konfigurasi jaringan modern |
| iputils | Mudah | Ping, traceroute tools |
| dnsutils | Mudah | DNS lookup |
| bind-tools | Sedang | DNS advanced |
| traceroute | Mudah | Lacak rute |
| mtr | Sedang | Monitoring rute |
| whois | Mudah | Info domain |
| tcpdump | Sulit | Packet capture |
| nmap | Mudah | Discovery & scanning |
| masscan | Sulit | Port scanning cepat |
| netcat-openbsd | Mudah | Koneksi jaringan sederhana |
| socat | Sedang | Relay/bridge koneksi |
| proxychains-ng | Sedang | Proxy chaining |
| tor | Sedang | Anonimisasi jaringan |
| wireshark | Sulit | Analisis paket |
| tshark | Sulit | Wireshark CLI |
| tcpflow | Sulit | Rekonstruksi traffic |
| bluez | Sedang | Bluetooth stack |
## Web dan Aplikasi
| Item | Tingkat | Kegunaan singkat |
|---|---|---|
| whatweb | Mudah | Identifikasi teknologi web |
| dirb | Mudah | Directory discovery |
| dirsearch | Sedang | Content discovery |
| gobuster | Sedang | Bruteforce path/directory |
| ffuf | Sedang | Fuzzing web |
| nikto | Sedang | Web server checks |
| wafw00f | Sedang | Deteksi WAF |
| sqlmap | Sulit | SQL injection testing |
