"TaskName","Execute","Arguments"
"MICO-Boot","powershell.exe","-NoProfile -ExecutionPolicy Bypass -File ""D:\01_ENGINEERING_WORKS\SCHEDULER\mico_boot_task.ps1"""
"MICO-PCi5-Monitor","powershell.exe","-WindowStyle Hidden -ExecutionPolicy Bypass -File ""C:\Users\USER\AppData\Roaming\Docker\cagent\MICO-PCi5-Monitor.ps1"""
"MICO-PCi5-TaskExecutor","powershell.exe","-WindowStyle Hidden -ExecutionPolicy Bypass -File ""C:\Users\USER\AppData\Roaming\Docker\cagent\MICO-PCi5-Task-Executor.ps1"""
"MICO_AI_DeepMonitor","powershell.exe","-ExecutionPolicy Bypass -NoProfile -WindowStyle Hidden -File C:\MICO_Engine\AIDeepSentinel.ps1"
"MICO_Background_Junk_Cleaner","powershell.exe","-ExecutionPolicy Bypass -NoProfile -WindowStyle Hidden -File C:\MICO_Engine\BackgroundJunkEngine.ps1"
"MICO_Master_Optimizer_Pro","powershell.exe","-ExecutionPolicy Bypass -NoProfile -WindowStyle Hidden -File C:\MICO_Engine\MicoMasterEngine.ps1"
"MICO_PC5_INFINIX_HEARTBEAT","powershell","-NoProfile -ExecutionPolicy Bypass -File C:\MICO\mico_pc5_infinix_heartbeat.ps1"
"MICO_Permanent_HDD_Optimizer","powershell.exe","-ExecutionPolicy Bypass -NoProfile -WindowStyle Hidden -File C:\MICO_Engine\HDDOptimizerEngine.ps1"
"MICO_PowerBridge_Task","powershell.exe","-ExecutionPolicy Bypass -NoProfile -WindowStyle Hidden -File C:\MICO_Bridge\MICO_Engine.ps1"
"MICO_StorageWatchdog","powershell.exe","-ExecutionPolicy Bypass -NoProfile -WindowStyle Hidden -File C:\JDEQ_Core\Telemetry\StorageWatchdog.ps1"
"MICO_WinShizuku_Service","powershell.exe","-ExecutionPolicy Bypass -NoProfile -WindowStyle Hidden -File C:\MICO_Engine\WinShizukuCore.ps1"
"MICO_ZERO_TOUCH_STARTUP","cmd.exe","/c D:\MICO_AUTOMATION\BATCH\MICO_ZERO_TOUCH_START.bat"
